epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.637,1.68319,3.4763,1.37094,0.00616,0.97222,0.57885,0.23046,1.26427,3.63006,1.04595,0.00021671,0.00021671,0.00021671
2,205.536,1.39327,1.98147,1.15551,0.00367,0.55833,0.4332,0.18105,1.07879,3.61837,1.02894,0.000445634,0.000445634,0.000445634
3,307.183,1.28941,1.55663,1.1317,0.0064,0.97222,0.42123,0.1989,1.02787,3.65124,1.03553,0.000669937,0.000669937,0.000669937
4,404.267,1.30875,1.53565,1.15362,1,0.28369,0.51014,0.29791,1.21223,3.27594,1.03834,0.00088962,0.00088962,0.00088962
5,500.755,1.16441,1.37883,1.10871,1,0.33641,0.93901,0.46296,1.45644,2.78373,1.14432,0.00110468,0.00110468,0.00110468
6,595.604,1.19014,1.24555,1.11673,1,0.86157,0.96133,0.64807,1.15731,2.2303,1.08829,0.00131512,0.00131512,0.00131512
7,691.384,1.13274,1.26581,1.12247,0.99569,0.93301,0.97175,0.62928,1.27426,1.68006,1.14204,0.00152094,0.00152094,0.00152094
8,800.634,1.13619,1.14653,1.07004,0.97267,0.97222,0.98452,0.72999,0.96908,1.55518,1.05454,0.00155148,0.00155148,0.00155148
9,919.322,1.15151,1.23475,1.09696,0.93406,0.92191,0.979,0.69572,1.09405,1.29575,1.11458,0.00153497,0.00153497,0.00153497
10,1064.31,1.14421,1.1157,1.12162,0.97918,0.97222,0.98875,0.6024,1.34182,1.29726,1.15129,0.00151847,0.00151847,0.00151847
11,1211.38,1.17669,1.11025,1.15356,0.94879,0.97222,0.99143,0.7662,0.89042,1.08688,0.99809,0.00150197,0.00150197,0.00150197
12,1364.59,1.12531,1.04432,1.09787,0.97094,0.97222,0.97025,0.63894,1.20327,1.09719,1.08792,0.00148546,0.00148546,0.00148546
13,1507.73,1.06048,0.96473,1.06221,0.92683,0.94444,0.98708,0.76467,0.85962,0.98319,1.03688,0.00146896,0.00146896,0.00146896
14,1629.9,1.03137,0.93631,1.06086,0.98384,0.97222,0.98731,0.75247,0.86781,0.95815,1.04036,0.00145246,0.00145246,0.00145246
15,1719.12,1.04072,0.9043,1.04596,0.97566,0.97222,0.98957,0.77227,0.84971,0.95524,1.04071,0.00143595,0.00143595,0.00143595
16,1813.73,0.97845,0.86858,1.05511,0.93107,0.95289,0.98875,0.76031,0.85025,0.90183,1.02254,0.00141945,0.00141945,0.00141945
17,1937.72,0.92511,0.82365,1.01254,0.77488,0.93265,0.96167,0.68688,1.02141,1.26791,1.0869,0.00140295,0.00140295,0.00140295
18,2070.99,0.89295,0.77237,0.99394,0.98686,1,0.995,0.68904,1.02662,1.32021,1.0687,0.00138644,0.00138644,0.00138644
19,2176.96,0.9073,0.77698,1.02001,0.99177,1,0.995,0.76836,0.9125,0.75593,1.00127,0.00136994,0.00136994,0.00136994
20,2334.52,0.92853,0.77291,1.05566,0.99379,0.99723,0.995,0.82271,0.72727,0.69535,0.93434,0.00135344,0.00135344,0.00135344
21,2421.69,0.88919,0.70258,1.01784,0.9895,1,0.995,0.78246,0.79212,0.72201,0.95516,0.00133693,0.00133693,0.00133693
22,2531.61,0.86009,0.66803,0.99222,0.99431,1,0.995,0.78025,0.79626,0.67447,0.9917,0.00132043,0.00132043,0.00132043
23,2626.63,0.89347,0.70696,1.01746,0.99095,1,0.995,0.78242,0.80164,0.70723,0.98707,0.00130393,0.00130393,0.00130393
24,2716.8,0.93456,0.72368,1.04522,0.9944,1,0.995,0.75005,0.93311,0.65565,1.0485,0.00128742,0.00128742,0.00128742
25,2802.21,0.9578,0.71745,1.04348,0.99296,0.99863,0.995,0.81924,0.67916,0.62732,0.93977,0.00127092,0.00127092,0.00127092
26,2888.27,0.82022,0.64829,0.97552,0.99536,1,0.995,0.83498,0.68354,0.6559,0.93677,0.00125442,0.00125442,0.00125442
27,2976.21,0.8588,0.65306,0.99555,0.96626,1,0.99079,0.8079,0.75335,0.66277,0.98012,0.00123791,0.00123791,0.00123791
28,3062.71,0.82856,0.63708,0.97489,0.98773,0.99758,0.995,0.83179,0.67323,0.63443,0.94153,0.00122141,0.00122141,0.00122141
29,3149.89,0.80178,0.59225,0.96799,0.98753,0.99792,0.995,0.78121,0.91724,0.58767,1.03611,0.00120491,0.00120491,0.00120491
30,3233.96,0.79561,0.59415,0.97167,0.96941,1,0.995,0.81761,0.73986,0.61694,0.99711,0.0011884,0.0011884,0.0011884
31,3322.88,0.83102,0.61137,0.97115,0.99386,0.99978,0.995,0.8212,0.72206,0.58362,0.96359,0.0011719,0.0011719,0.0011719
32,3412.16,0.85021,0.61153,0.97872,0.99256,0.99761,0.995,0.82746,0.67899,0.59671,0.94759,0.0011554,0.0011554,0.0011554
33,3502.05,0.81716,0.58185,0.96563,0.99566,0.9977,0.995,0.81665,0.66057,0.57517,0.93545,0.00113889,0.00113889,0.00113889
34,3587.97,0.76844,0.56669,0.94974,0.9944,1,0.995,0.84025,0.61473,0.51977,0.90249,0.00112239,0.00112239,0.00112239
35,3674.58,0.79593,0.56091,0.96438,0.99178,1,0.995,0.84077,0.64143,0.51806,0.91196,0.00110589,0.00110589,0.00110589
36,3763.84,0.75005,0.54268,0.95093,0.98588,0.99707,0.995,0.84088,0.66202,0.53774,0.91828,0.00108938,0.00108938,0.00108938
37,3852.52,0.78187,0.56092,0.95462,0.98334,0.99668,0.995,0.8175,0.67465,0.5394,0.92714,0.00107288,0.00107288,0.00107288
38,3939.59,0.76748,0.53514,0.95346,0.98575,0.99723,0.995,0.82031,0.66595,0.52279,0.92502,0.00105638,0.00105638,0.00105638
39,4025.79,0.77636,0.53672,0.95716,0.99013,0.97222,0.99368,0.82434,0.66535,0.51909,0.93743,0.00103987,0.00103987,0.00103987
40,4112.29,0.74892,0.53299,0.93697,0.98713,0.9983,0.995,0.77437,0.9255,0.50806,1.01719,0.00102337,0.00102337,0.00102337
41,4194.38,0.75805,0.52273,0.94731,0.97783,0.99661,0.995,0.83783,0.67004,0.4803,0.93035,0.00100687,0.00100687,0.00100687
42,4283.35,0.82917,0.56339,0.94091,0.99197,0.97222,0.99368,0.82272,0.69079,0.47021,0.93305,0.000990365,0.000990365,0.000990365
43,4371.46,0.76932,0.51379,0.95248,0.99142,1,0.995,0.83761,0.66664,0.46822,0.92007,0.000973861,0.000973861,0.000973861
44,4457.59,0.72548,0.52721,0.94679,0.99192,1,0.995,0.81375,0.64251,0.45775,0.92188,0.000957358,0.000957358,0.000957358
